"","Area","C1990s","C2015","C2018","C2020","FL_1990","FL_2000","FL_2015","FL_2018","FL_2020","FL_1990s","r1990s","r2018","pchg_1990s_to_2018"
"1","Argentina",3613.55003,3215.5095,3194.3614,3179.032,35204,33378,29097,28791,28573,34291,0.105378963284827,0.110949998263346,5.28666709641222
"2","Australia",8393.23167,8291.7874,8292.2356,8292.2356,133882.2,131814.1,133094.5,134005.1,134005.1,132848.15,0.0631791385126552,0.0618800000895488,-2.05627752085629
"3","Austria",351.406,398.5982,404.5314,408.436,3775.67,3838.14,3881.19,3891.97,3899.15,3806.905,0.0923075306581068,0.103940009815081,12.6018744885062
"4","Belgium",53.3652388292173,71.8251,71.8251,71.8251,677.4,667.3,689.3,689.3,689.3,672.35,0.0793712186052166,0.104200058029885,31.2819178802894
"5","Brazil",57421.23813,52504.7962,52150.8713,51981.1735,588898,551088.6,503884.8,499051.4,496619.6,569993.3,0.100740198402332,0.1045,3.73217608987841
"6","Canada",20585.7523,19591.2107,19574.3868,19570.2141,348272.93,347801.97,347115.71,347002.07,346928.1,348037.45,0.0591480954132953,0.0564100000902012,-4.62921976432512
"7","Chile",2078.9374,2316.5239,2364.7158,2395.9818,15246.05,15817.06,17596.08,17964.87,18210.7,15531.555,0.133852495773926,0.131629997879194,-1.66040825901784
"8","China",5427.82325,7835.5638,8387.1366,8724.3346,157140.59,177000.55,210294.25,216219.04,219978.18,167070.57,0.0324882069295628,0.0387900001775977,19.3971716004449
"9","Colombia",7218.93404,6787.3991,6720.334,6675.3474,64958.14,62735.5,60134.66,59540.48,59141.91,63846.82,0.113066461884868,0.112870000376215,-0.173757545232985
"10","Czechia",214.205614285714,249.0408,253.9796,257.1345,2629.42,2637.29,2668.39,2673.47,2677.09,2633.355,0.0813432348793514,0.0949999812977142,16.789037759094
"11","Denmark",31.54117,40.1982,40.4632,40.5847,531.44,571.6,624.68,626.56,628.44,551.52,0.057189530751378,0.0645799284984678,12.9226409973853
"12","Estonia",136.3304,163.2971,164.0799,164.0799,2205.9,2238.89,2421.01,2438.4,2438.4,2222.395,0.0613439105109578,0.0672899852362205,9.69301545293654
"13","Finland",667.22853,863.4188,863.4188,863.4188,21875.33,22445.64,22409,22409,22409,22160.485,0.0301089317314129,0.0385300013387478,27.9686761471817
"14","France",1001.63124,1333.4112,1389.1081,1425.0978,14436,15288,16836,17086.2,17253,14862,0.0673954541784417,0.0813000023410706,20.6312849021153
"15","Germany",946.59739,1168.6205,1200.5937,1221.9472,11300,11354,11419,11419,11419,11327,0.08357,0.105140003502934,25.810701810379
"16","Greece",73.92635,84.2399,84.2399,84.2399,3298.55,3600.23,3901.8,3901.8,3901.8,3449.39,0.0214317169122656,0.0215900097390948,0.738591441260316
"17","Hungary",109.18295,130.656,133.8404,135.7861,1813.9,1921.17,2060.82,2055.92,2053.01,1867.535,0.0584636700249259,0.065100003891202,11.3512098427052
"18","Iceland",0.23405,0.5977,0.6951,0.7595,17.07,29.83,48.16,50.04,51.35,23.45,0.00998081023454158,0.0138908872901679,39.1759482821775
"19","India",2497.72663,2939.362,2972.5288,2994.64,63938,67591,70828,71627.2,72160,65764.5,0.0379798619315892,0.0415,9.26843303103991
"20","Indonesia",10882.24585,9911.41,9735.8074,9609.4928,118545,101280,95027.9,93344.27,92133.2,109912.5,0.0990082643011486,0.104300000417808,5.34474182939308
"21","Ireland",28.98748,47.7253,50.5435,53.0288,461.64,630.36,754.67,774.02,782.02,546,0.0530906227106227,0.0652999922482623,22.9972242069722
"22","Israel",0.61847,0.7359,0.6244,0.6244,132,153,165,140,140,142.5,0.00434014035087719,0.00446,2.76165375846847
"23","Italy",443.32234,641.4985,652.6372,660.063,7589.75,8369.25,9297.08,9458.51,9566.13,7979.5,0.0555576590011905,0.069000001057249,24.1952996179525
"24","Japan",1246.916,1721.136,1770.385,1770.385,24950,24876,24944,24935,24935,24913,0.0500508168426123,0.071,41.8558266956234
"25","Latvia",211.98915,281.4217,285.652,288.4164,3173,3241,3391.44,3403.05,3410.79,3207,0.0661020112254443,0.0839399950044813,26.9855386369404
"26","Lithuania",140.4078125,173.4291,178.038,180.7021,1945,2020,2187,2198,2201,1982.5,0.0708236128625473,0.081,14.3686360044958
"27","Luxembourg",6.17600117078265,8.6589,8.831,9.0403,85.8,86.7,88.7,88.7,88.7,86.25,0.0716058106757409,0.0995603156708004,39.03943650837
"28","Mexico",1916.00582,2045.6453,2033.8243,2025.9437,70591.65,68381.35,66330.91,65947.61,65692.08,69486.5,0.0275737851237291,0.030840000115243,11.8453631841177
"29","Netherlands",7.7762,11.5323,11.948,12.2304,345.33,359.5,364.83,367.63,369.5,352.415,0.022065462593817,0.0325000680031554,47.2893118146652
"30","New Zealand",1668.5695,1798.8772,1810.194,1814.8946,9372.27,9850.44,9846.61,9855.15,9892.59,9611.355,0.173603981956758,0.18368000487055,5.8040275345189
"31","Norway",349.87148,467.1857,483.6565,494.7516,12132,12113,12141,12164.4,12180,12122.5,0.0288613305836255,0.0397599963828878,37.7621737420715
"32","Poland",503.5033,828.96,860.769,891.402,8882,9059,9420,9459,9483,8970.5,0.0561287888077588,0.091,62.1271399810091
"33","Portugal",88.2983,87.3374,87.3374,87.3374,3399,3281,3312,3312,3312,3340,0.0264366167664671,0.0263699879227053,-0.252032415306124
"34","Republic of Korea",186.70565,483.1329,521.5889,545.5859,6551,6476,6337,6307,6287,6513.5,0.0286644123742995,0.0827,188.511060056297
"35","Russian Federation",36295.031625,39939.7418,40431.3022,40741.1206,808949.9,809268.5,814930.46,815311.6,815311.6,809109.2,0.0448580137575991,0.0495899999460329,10.5488089909736
"36","Saudi Arabia",16.1889,16.1889,16.1889,16.1889,0,0,0,0,0,0,Inf,Inf,NA
"37","Singapore",0.94612,1.2372,1.2202,1.1927,14.83,17.01,16.47,15.93,15.57,15.92,0.059429648241206,0.0765976145637163,28.8878814372768
"38","Slovakia",149.732014285714,193.4818,194.9781,194.9781,1902.48,1901.41,1921.75,1925.9,1925.9,1901.945,0.0787257330184176,0.101239991692196,28.5983474660199
"39","Slovenia",133.0248625,180.2986,178.8584,180.03,1188,1233,1248,1241.9,1237.83,1210.5,0.109892492771582,0.144019969401723,31.0553303227702
"40","South Africa",893.42212,860.0536,854.9459,851.652,18142.09,17778.09,17232.09,17122.89,17050.09,17960.09,0.0497448576259919,0.0499300001343231,0.372184215951067
"41","Spain",564.966,694.3707,713.3988,713.9142,13904.66,17093.93,18551.18,18563.59,18572.17,15499.295,0.0364510772909348,0.0384300019554407,5.42898814405695
"42","Sweden",1246.02765,1326.252,1343.3198,1355.0714,28063,28163,27980,27980,27980,28113,0.0443221161028706,0.04801,8.32064039670386
"43","Switzerland",138.0275,151.4561,153.5377,154.9203,1153.5,1196.18,1251.91,1262.23,1269.11,1174.84,0.117486210888291,0.121640033908242,3.53558344297968
"44","Türkiye",450.68975,674.6491,703.6965,713.718,19783.48,20148.35,21630.3,21908.36,22220.36,19965.915,0.0225729574627559,0.0321199989410435,42.2941543838006
"45","United Arab Emirates",13.6901,15.8777,15.8777,15.8777,0,0,0,0,0,0,Inf,Inf,NA
"46","United Kingdom of Great Britain and Northern Ireland",157.4823,233.47,241.148,252.01,2778,2954,3155,3173,3190,2866,0.0549484647592463,0.076,38.3114165845939
"47","United States of America",14812.3433,17334.3105,17704.7843,17704.7843,302450,303536,310095,309795,309795,302993,0.0488867508490295,0.057150000161397,16.9028400719161
"48","Uruguay",57.97277,115.2,117.351,117.798,798,1369,1920,1989,2031,1083.5,0.0535050946008306,0.059,10.2698732525632
