"","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )","Forest ( 1000 ha )"
"","1990","2000","2010","2015","2016","2017","2018","2019","2020"
"Afghanistan","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44","1208.44"
"Albania (Desk study)","788.80","769.30","782.07","789.19","789.18","788.90","788.90","788.90","788.90"
"Algeria","1667.00","1579.00","1918.00","1956.00","1956.00","1943.00","1930.00","1939.00","1949.00"
"American Samoa","18.07","17.73","17.43","17.28","17.25","17.22","17.19","17.16","17.13"
"Andorra","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00","16.00"
"Angola","79262.78","77708.61","72158.00","69382.69","68827.62","68272.57","67717.51","67162.44","66607.38"
"Anguilla (Desk study)","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50","5.50"
"Antigua and Barbuda (Desk study)","10.11","9.45","8.78","8.45","8.38","8.32","8.25","8.18","8.12"
"Argentina","35204.00","33378.00","30214.00","29097.00","29010.00","28899.00","28791.00","28681.00","28573.00"
"Armenia","334.73","332.64","330.56","329.52","329.31","329.10","328.89","328.68","328.47"
"Aruba (Desk study)","0.42","0.42","0.42","0.42","0.42","0.42","0.42","0.42","0.42"
"Australia","133882.20","131814.10","129546.10","133094.50","134037.20","134017.40","134005.10","134005.10","134005.10"
"Austria","3775.67","3838.14","3863.20","3881.19","3884.79","3888.38","3891.97","3895.56","3899.15"
"Azerbaijan","944.74","987.22","1032.49","1077.89","1087.48","1097.18","1108.71","1120.24","1131.77"
"Bahamas","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86","509.86"
"Bahrain (Desk study)","0.22","0.37","0.52","0.60","0.62","0.64","0.66","0.68","0.70"
"Bangladesh","1920.33","1920.33","1888.34","1883.40","1883.40","1883.40","1883.40","1883.40","1883.40"
"Barbados","6.30","6.30","6.30","6.30","6.30","6.30","6.30","6.30","6.30"
"Belarus","7780.00","8273.00","8630.00","8633.50","8709.60","8724.10","8738.60","8753.10","8767.60"
"Belgium","677.40","667.30","689.87","689.30","689.30","689.30","689.30","689.30","689.30"
"Belize","1600.03","1459.30","1391.39","1332.83","1321.68","1310.52","1299.37","1288.21","1277.05"
"Benin","4835.15","4135.15","3635.15","3385.15","3335.15","3285.15","3235.15","3185.15","3135.15"
"Bermuda (Desk study)","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"Bhutan","2506.72","2606.00","2705.29","2715.18","2717.16","2719.14","2721.12","2723.10","2725.08"
"Bolivia (Plurinational State of)","57804.72","55101.39","53086.01","52027.22","51750.68","51492.22","51253.24","51033.76","50833.76"
"Bonaire, Sint Eustatius and Saba (Desk study)","1.91","1.91","1.91","1.91","1.91","1.91","1.91","1.91","1.91"
"Bosnia and Herzegovina (Desk study)","2210.00","2111.65","2102.66","2160.50","2176.51","2187.91","2187.91","2187.91","2187.91"
"Botswana","18803.70","17620.70","16437.70","15846.20","15727.90","15609.60","15491.30","15373.00","15254.70"
"Brazil","588898.00","551088.60","511580.70","503884.80","502082.10","500091.60","499051.40","497798.50","496619.60"
"British Virgin Islands (Desk study)","3.71","3.67","3.64","3.62","3.62","3.62","3.62","3.62","3.62"
"Brunei Darussalam","413.00","397.00","380.00","380.00","380.00","380.00","380.00","380.00","380.00"
"Bulgaria","3327.00","3375.00","3737.00","3833.00","3841.00","3854.00","3867.00","3880.00","3893.00"
"Burkina Faso","7716.60","7216.50","6716.50","6466.40","6416.40","6366.40","6316.40","6266.40","6216.40"
"Burundi","276.48","193.94","193.94","279.64","279.64","279.64","279.64","279.64","279.64"
"Cabo Verde","15.38","39.72","42.72","44.22","44.52","44.82","45.12","45.42","45.72"
"Cambodia","11004.79","10781.00","10589.23","8846.82","8691.13","8535.44","8379.75","8224.06","8068.37"
"Cameroon","22500.00","21597.49","20900.48","20620.48","20564.48","20508.48","20452.48","20396.48","20340.48"
"Canada","348272.93","347801.97","347322.21","347115.71","347076.04","347039.05","347002.07","346965.08","346928.10"
"Cayman Islands (Desk study)","13.13","12.93","12.72","12.72","12.72","12.72","12.81","12.72","12.72"
"Central African Republic","23203.00","22903.00","22603.00","22453.00","22423.00","22393.00","22363.00","22333.00","22303.00"
"Chad","6730.00","6353.00","5530.00","4890.00","4769.00","4651.00","4535.00","4422.00","4313.00"
"Chile","15246.05","15817.06","16725.26","17596.08","17719.01","17841.94","17964.87","18087.80","18210.70"
"China","157140.59","177000.55","200610.38","210294.25","212459.87","214339.47","216219.04","218098.61","219978.18"
"Colombia","64958.14","62735.50","60807.79","60134.66","59959.49","59739.77","59540.48","59341.20","59141.91"
"Comoros","46.06","41.68","37.30","35.11","34.67","34.23","33.80","33.36","32.92"
"Congo","22315.00","22195.00","22075.00","22015.00","22003.00","21991.00","21976.00","21961.00","21946.00"
"Cook Islands","14.91","15.57","15.59","15.59","15.59","15.59","15.59","15.59","15.59"
"Costa Rica","2907.40","2857.22","2871.20","2953.03","2969.40","2985.77","3002.13","3018.50","3034.87"
"Côte d'Ivoire","7850.86","5094.45","3965.58","3401.15","3288.26","3175.37","3062.48","2949.60","2836.71"
"Croatia","1850.00","1885.00","1920.00","1922.00","1924.12","1931.61","1934.11","1936.61","1939.11"
"Cuba","2058.00","2435.00","2932.00","3184.00","3241.00","3242.00","3242.00","3242.00","3242.00"
"Curaçao (Desk study)","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07"
"Cyprus","161.11","171.61","172.84","172.71","172.61","172.59","172.57","172.55","172.53"
"Czechia","2629.42","2637.29","2657.38","2668.39","2669.85","2671.66","2673.47","2675.28","2677.09"
"Democratic People's Republic of Korea (Desk study)","6912.03","6454.69","6242.39","6136.24","6115.01","6093.78","6072.55","6051.32","6030.09"
"Democratic Republic of the Congo","150629.00","143899.00","137169.00","131662.12","130560.74","129459.37","128357.99","127256.61","126155.24"
"Denmark","531.44","571.60","586.49","624.68","624.66","625.60","626.56","627.50","628.44"
